TestRunStatus,ExecutionDate,Document Key,Name,Assigned To
PASSED,2024-02-27,KCE-TSTRN-3549600,PIO - Car - 12 floors - Analog Display,Suryanarayanan
PASSED,2024-04-02,KCE-TSTRN-3553145,Voltage Monitoring on KCECPUc board,Jagadeesh
INPROGRESS,2024-02-02,KCE-TSTRN-3510017,2. DMI - Car and Landing display function in EBD Mode,Badaganti Sai Prasad
PASSED,2024-02-05,KCE-TSTRN-3510081,Safety Bypass Indication- Buzzer and Light is Continuous when elevator moving or not moving in Maintenance mode.,Suryanarayanan
INPROGRESS,2024-02-05,KCE-TSTRN-3510360,2. DMI - Car and Landing display function in EBD Mode,Badaganti Sai Prasad
INPROGRESS,2024-02-07,KCE-TSTRN-3510364,PIO - Car - 12 floors - Car call buttons,Badaganti Sai Prasad
PASSED,2024-02-06,KCE-TSTRN-3510396,4.2. Landing Door contact Bypass switch active - Door close operation via service tools,Shrividhya
INPROGRESS,2024-02-06,KCE-TSTRN-3510416,Safety Bypass Indication- Buzzer and Light is Continuous when elevator moving or not moving in Maintenance mode.,Suryanarayanan
PASSED,2024-02-09,KCE-TSTRN-3510571,PIO - Car - 12 floors - Car call buttons,Badaganti Sai Prasad
PASSED,2024-02-07,KCE-TSTRN-3510604,Safety Bypass Indication- Buzzer and Light is Continuous when elevator moving or not moving in Maintenance mode.,Suryanarayanan
PASSED,2024-02-29,KCE-TSTRN-3549599,2. DMI - Car and Landing display function in EBD Mode,VIGNESHWARAR
INPROGRESS,2024-03-08,KCE-TSTRN-3549615,KCERAL - Functions,Vivek
PASSED,2024-02-02,KCE-TSTRN-3510071,Safety Bypass Indication- Buzzer is Continuous and Light ON & OFF on 1S frequency when elevator moving or not moving in maintenance mode.,Suryanarayanan
INPROGRESS,2024-02-05,KCE-TSTRN-3510357,3. DMI - Car and Landing Display function during EPD mode,Badaganti Sai Prasad
INPROGRESS,2024-02-09,KCE-TSTRN-3510570,6. Landing Door contact Bypass switch active - Indications,ARUN KUMAR
INPROGRESS,2024-02-12,KCE-TSTRN-3510572,PIO - Car - 12 floors - Dot matrix Display,Badaganti Sai Prasad
INPROGRESS,2024-02-26,KCE-TSTRN-3531884,3. DMI - Car and Landing Display function during EPD mode,VIGNESHWARAR
PASSED,2024-02-16,KCE-TSTRN-3531888,6. Landing Door contact Bypass switch active - Indications,Harini Sri
FAILED,2024-02-23,KCE-TSTRN-3531889,PIO - Car - 12 floors - Dot matrix Display,Badaganti Sai Prasad
PASSED,2024-02-27,KCE-TSTRN-3549597,3. DMI - Car and Landing Display function during EPD mode,VIGNESHWARAR
PASSED,2024-02-28,KCE-TSTRN-3549601,PIO - Car - 12 floors - Dot matrix Display,Suryanarayanan
PASSED,2024-02-05,KCE-TSTRN-3510045,Safety Bypass using SB1 Jumper - DOB /DCB via service tools,Suryanarayanan
INPROGRESS,2024-02-01,KCE-TSTRN-3510067,12. Landing Door contact Bypass switch active - Door operation with inspection mode ,Shrividhya
INPROGRESS,2024-02-07,KCE-TSTRN-3510366,PIO - Car - 12 floors - Seven segment Display,Badaganti Sai Prasad
PASSED,2024-02-06,KCE-TSTRN-3510384,Safety Bypass using SB1 Jumper - DOB /DCB via service tools,Suryanarayanan
PASSED,2024-02-09,KCE-TSTRN-3510598,12. Landing Door contact Bypass switch active - Door operation with inspection mode ,ARUN KUMAR
INPROGRESS,2024-02-23,KCE-TSTRN-3531885,4. DMI - Car and Landing Display function during inspection modes,VIGNESHWARAR
PASSED,2024-02-27,KCE-TSTRN-3549598,4. DMI - Car and Landing Display function during inspection modes,VIGNESHWARAR
